"Issue Key","Summary","Description","Acceptance Criteria","Story Points"
"","PreR1	Οργάνωση ομάδας","","","2"
"","PreR2	Ανάλυση απαιτήσεων","","","8"
"","PreR3	Εκτίμηση προσπάθειας &amp; προτεραιοποίηση εργασιών","","","2"
"","PreR4	Προγραμματισμός εργασιών","","","4"
"","R1	Αρχικός Σχεδιασμός Συστήματος","","","8"
"","R1.1	Δημιουργία dummy GUI Αρχικής Οθόνης","","","8"
"","R1.2	Δημιουργία Βάσης δεδομένων","","","16"
"","R1.3	Δημιουργία κλάσεων POJO","","","16"
"","R2	Διαχείριση δεδομένων JOKER","","","-"
"","R2.1	Δημιουργία dummy GUI για τη διαχείριση δεδομένων από το API του ΟΠΑΠ","","","16"
"","R2.2	Σύνδεση της εφαρμογής με την Βάση Δεδομένων","","","4"
"","R2.3	Επιλογή game_ID ή επιλογή εύρους ημερομηνιών","","","8"
"","R2.4	Έλεγχος αν υπάρχουν ήδη τα δεδομένα στη Βάση Δεδομένων.","","","2"
"","R2.5	Αποθήκευση των δεδομένων που ανακτήθηκαν από το API στη Βάση Δεδομένων","","","4"
"","R2.6	Διαγραφή δεδομένων παιχνιδιού  με επιβεβαίωση διαγραφής","","","2"
"","R2.6	Διαγραφή δεδομένων εντός εύρους ημ/νιών με επιβεβαίωση διαγραφής","","","2"
"","R3	Προβολή δεδομένων ΤΖΟΚΕΡ","","","-"
"","R3.1	Δημιουργία dummy GUI για παράθυρο προβολή των δεδομένων για την επιλογή 2 &quot;Προβολή δεδομένων ΤΖΟΚΕΡ ανά μήνα για συγκεκριμένο έτος&quot;","","","8"
"","R3.2	Λειτουργικότητα επιλογής από λίστα, του έτους και του μήνα","","","8"
"","R3.3	Εμφάνιση δεδομένων 12 μηνών και συγκεντρωτικών δεδομένων ανά μήνα για συγκεκριμένο έτος","","","16"
"","R4	Προβολή/Εκτύπωση στατιστικών δεδομένων ΤΖΟΚΕΡ","","","-"
"","R4.1	Δημιουργία dummy GUI για την επιλογή 3 &quot;Προβολή στατιστικών δεδομένων ΤΖΟΚΕΡ &amp; εκτύπωση σε PDF&quot;","","","8"
"","R4.2	Ρουτίνα επιλογής χρονικού διαστήματος εμφάνισης στατιστικών","","","4"
"","R4.3	Προβολή στατιστικών δεδομένων ΤΖΟΚΕΡ σε πίνακα","","","4"
"","R4.4	Εκτύπωση στατιστικών δεδομένων ΤΖΟΚΕΡ σε αρχείο PDF","","","8"
"","R5	&quot;Προβολή στατιστικών στοιχείων κληρώσεων σε γραφική μορφή&quot;","","","-"
"","R5.1	Δημιουργία GUI","","","4"
"","R5.2	επιλογή των στατιστικών που θα παραχθούν και εύρος ημερομηνιών","","","4"
"","R5.3	Ανάκτηση δεδομένων από τη βάση","","","4"
"","R5.4	Επεξεργασία και εμφάνιση δεδομένων","","","8"
"","PostR1.1	Τελικός έλεγχος ορθής λειτουργίας προγράμματος","","","8"
"","PostR1.2	Απολογισμός έργου","","","8"
"","PostR1.3	Συγγραφή εργασίας","","","16"
